edition,name,count
"c13","Jeleva, Nephalia's Scourge",1
"c13","Island",9
"c13","Mountain",5
"c13","Swamp",8
"c13","Augur of Bolas",1
"c13","Baleful Force",1
"c13","Baleful Strix",1
"c13","Charmbreaker Devils",1
"c13","Diviner Spirit",1
"c13","Echo Mage",1
"c13","Fog Bank",1
"c13","Guard Gomazoa",1
"c13","Guttersnipe",1
"c13","Hooded Horror",1
"c13","Jace's Archivist",1
"c13","Mnemonic Wall",1
"c13","Nekusar, the Mindrazer",1
"c13","Nightscape Familiar",1
"c13","Nivix Guildmage",1
"c13","Terra Ravager",1
"c13","Thraximundar",1
"c13","True-Name Nemesis",1
"c13","Uyo, Silent Prophet",1
"c13","Vampire Nighthawk",1
"c13","Viseling",1
"c13","Army of the Damned",1
"c13","Cruel Ultimatum",1
"c13","Decree of Pain",1
"c13","Fissure Vent",1
"c13","Incendiary Command",1
"c13","Infest",1
"c13","Molten Disaster",1
"c13","Phthisis",1
"c13","Prosperity",1
"c13","Skyscribing",1
"c13","Strategic Planning",1
"c13","Tempt with Reflections",1
"c13","Annihilate",1
"c13","Crosis's Charm",1
"c13","Dismiss",1
"c13","Grixis Charm",1
"c13","Illusionist's Gambit",1
"c13","Opportunity",1
"c13","Soul Manipulation",1
"c13","Starstorm",1
"c13","Sudden Spoiling",1
"c13","Vision Skeins",1
"c13","Wild Ricochet",1
"c13","Armillary Sphere",1
"c13","Eye of Doom",1
"c13","Mirari",1
"c13","Obelisk of Grixis",1
"c13","Sol Ring",1
"c13","Swiftfoot Boots",1
"c13","Temple Bell",1
"c13","Wayfarer's Bauble",1
"c13","Arcane Melee",1
"c13","Curse of Chaos",1
"c13","Curse of Inertia",1
"c13","Curse of Shallow Graves",1
"c13","Price of Knowledge",1
"c13","Propaganda",1
"c13","Spiteful Visions",1
"c13","Akoum Refuge",1
"c13","Bojuka Bog",1
"c13","Command Tower",1
"c13","Crumbling Necropolis",1
"c13","Dimir Guildgate",1
"c13","Evolving Wilds",1
"c13","Grixis Panorama",1
"c13","Izzet Boilerworks",1
"c13","Izzet Guildgate",1
"c13","Molten Slagheap",1
"c13","Opal Palace",1
"c13","Rakdos Carnarium",1
"c13","Rakdos Guildgate",1
"c13","Rupture Spire",1
"c13","Temple of the False God",1
"c13","Urza's Factory",1
"c13","Vivid Creek",1
"c13","Vivid Marsh",1
