edition,name,count
"c14","Freyalise, Llanowar's Fury",1
"c14","Elvish Mystic",1
"c14","Elvish Skysweeper",1
"c14","Essence Warden",1
"c14","Joraga Warcaller",1
"c14","Llanowar Elves",1
"c14","Sylvan Safekeeper",1
"c14","Elvish Visionary",1
"c14","Priest of Titania",1
"c14","Sylvan Ranger",1
"c14","Thornweald Archer",1
"c14","Wellwisher",1
"c14","Farhaven Elf",1
"c14","Imperious Perfect",1
"c14","Reclamation Sage",1
"c14","Timberwatch Elf",1
"c14","Titania's Chosen",1
"c14","Wood Elves",1
"c14","Elvish Archdruid",1
"c14","Ezuri, Renegade Leader",1
"c14","Drove of Elves",1
"c14","Immaculate Magistrate",1
"c14","Wren's Run Packmaster",1
"c14","Lys Alana Huntmaster",1
"c14","Masked Admirers",1
"c14","Wolfbriar Elemental",1
"c14","Creeperhulk",1
"c14","Silklash Spider",1
"c14","Titania, Protector of Argoth",1
"c14","Grave Sifter",1
"c14","Primordial Sage",1
"c14","Rampaging Baloths",1
"c14","Soul of the Harvest",1
"c14","Thunderfoot Baloth",1
"c14","Siege Behemoth",1
"c14","Tornado Elemental",1
"c14","Terastodon",1
"c14","Lifeblood Hydra",1
"c14","Hunting Triad",1
"c14","Whirlwind",1
"c14","Overwhelming Stampede",1
"c14","Overrun",1
"c14","Grim Flowering",1
"c14","Collective Unconscious",1
"c14","Desert Twister",1
"c14","Wave of Vitriol",1
"c14","Praetor's Counsel",1
"c14","Sylvan Offering",1
"c14","Harrow",1
"c14","Fresh Meat",1
"c14","Skullclamp",1
"c14","Sol Ring",1
"c14","Emerald Medallion",1
"c14","Moss Diamond",1
"c14","Swiftfoot Boots",1
"c14","Commander's Sphere",1
"c14","Assault Suit",1
"c14","Seer's Sundial",1
"c14","Predator, Flagship",1
"c14","Loreseeker's Stone",1
"c14","Beastmaster Ascension",1
"c14","Song of the Dryads",1
"c14","Wolfcaller's Howl",1
"c14","Crystal Vein",1
"c14","Evolving Wilds",1
"c14","Gargoyle Castle",1
"c14","Ghost Quarter",1
"c14","Haunted Fengraf",1
"c14","Havenwood Battleground",1
"c14","Jungle Basin",1
"c14","Myriad Landscape",1
"c14","Oran-Rief, the Vastwood",1
"c14","Slippery Karst",1
"c14","Terramorphic Expanse",1
"c14","Tranquil Thicket",1
"c14","Forest",25
