edition,name,count
"c15","Mizzix of the Izmagnus",1
"c15","Island",14
"c15","Mountain",13
"c15","Jace's Archivist",1
"c15","Gigantoplasm",1
"c15","Talrand, Sky Summoner",1
"c15","Psychosis Crawler",1
"c15","Broodbirth Viper",1
"c15","Illusory Ambusher",1
"c15","Lone Revenant",1
"c15","Warchief Giant",1
"c15","Goblin Electromancer",1
"c15","Charmbreaker Devils",1
"c15","Arjun, the Shifting Flame",1
"c15","Etherium-Horn Sorcerer",1
"c15","Melek, Izzet Paragon",1
"c15","Dragon Mage",1
"c15","Preordain",1
"c15","Faithless Looting",1
"c15","Vandalblast",1
"c15","Mizzium Mortars",1
"c15","Windfall",1
"c15","Mystic Retrieval",1
"c15","Stolen Goods",1
"c15","Mizzix's Mastery",1
"c15","Rite of Replication",1
"c15","Sleep",1
"c15","Chain Reaction",1
"c15","Call the Skybreaker",1
"c15","Blatant Thievery",1
"c15","Epic Experiment",1
"c15","Meteor Blast",1
"c15","Blustersquall",1
"c15","Brainstorm",1
"c15","Echoing Truth",1
"c15","Desperate Ravings",1
"c15","Urza's Rage",1
"c15","Counterflux",1
"c15","Aetherize",1
"c15","Fact or Fiction",1
"c15","Reins of Power",1
"c15","Steam Augury",1
"c15","Mystic Confluence",1
"c15","Word of Seizing",1
"c15","Act of Aggression",1
"c15","Prophetic Bolt",1
"c15","Aethersnatch",1
"c15","Mirror Match",1
"c15","Firemind's Foresight",1
"c15","Repeal",1
"c15","Comet Storm",1
"c15","Magmaquake",1
"c15","Stroke of Genius",1
"c15","Dominate",1
"c15","Blue Sun's Zenith",1
"c15","Sol Ring",1
"c15","Izzet Signet",1
"c15","Thought Vessel",1
"c15","Worn Powerstone",1
"c15","Seal of the Guildpact",1
"c15","Awaken the Sky Tyrant",1
"c15","Rite of the Raging Storm",1
"c15","Thought Reflection",1
"c15","Command Tower",1
"c15","Evolving Wilds",1
"c15","Izzet Boilerworks",1
"c15","Izzet Guildgate",1
"c15","Reliquary Tower",1
"c15","Rogue's Passage",1
"c15","Spinerock Knoll",1
"c15","Swiftwater Cliffs",1
"c15","Temple of the False God",1
"c15","Terramorphic Expanse",1
"c15","Vivid Crag",1
"c15","Vivid Creek",1
