edition,name,count
"c16","Atraxa, Praetors' Voice",1
"c16","Plains",5
"c16","Island",4
"c16","Swamp",5
"c16","Forest",7
"c16","Thrummingbird",1
"c16","Festercreep",1
"c16","Scavenging Ooze",1
"c16","Abzan Falconer",1
"c16","Orzhov Advokist",1
"c16","Tuskguard Captain",1
"c16","Necroplasm",1
"c16","Champion of Lambholt",1
"c16","Reyhan, Last of the Abzan",1
"c16","Vorel of the Hull Clade",1
"c16","Crystalline Crawler",1
"c16","Custodi Soulbinders",1
"c16","Forgotten Ancient",1
"c16","Bane of the Living",1
"c16","Ishai, Ojutai Dragonspeaker",1
"c16","Corpsejack Menace",1
"c16","Fathom Mage",1
"c16","Master Biomancer",1
"c16","Elite Scaleguard",1
"c16","Reveillark",1
"c16","Deepglow Skate",1
"c16","Kalonian Hydra",1
"c16","Ikra Shidiqi, the Usurper",1
"c16","Vulturous Zombie",1
"c16","Juniper Order Ranger",1
"c16","Ghave, Guru of Spores",1
"c16","Enduring Scalelord",1
"c16","Manifold Insights",1
"c16","Languish",1
"c16","Tezzeret's Gambit",1
"c16","Migratory Route",1
"c16","Merciless Eviction",1
"c16","Spitting Image",1
"c16","Sublime Exhalation",1
"c16","Duneblast",1
"c16","Treasure Cruise",1
"c16","Disdainful Stroke",1
"c16","Solidarity of Heroes",1
"c16","Grip of Phyresis",1
"c16","Inspiring Call",1
"c16","Mortify",1
"c16","Putrefy",1
"c16","Ancient Excavation",1
"c16","Mirrorweave",1
"c16","Sylvan Reclamation",1
"c16","Sol Ring",1
"c16","Fellwar Stone",1
"c16","Golgari Signet",1
"c16","Orzhov Signet",1
"c16","Simic Signet",1
"c16","Commander's Sphere",1
"c16","Darksteel Ingot",1
"c16","Cauldron of Souls",1
"c16","Astral Cornucopia",1
"c16","Hardened Scales",1
"c16","Brave the Sands",1
"c16","Duelist's Heritage",1
"c16","Bred for the Hunt",1
"c16","Citadel Siege",1
"c16","Cathars' Crusade",1
"c16","Arcane Sanctum",1
"c16","Ash Barrens",1
"c16","Azorius Chancery",1
"c16","Command Tower",1
"c16","Darkwater Catacombs",1
"c16","Dreadship Reef",1
"c16","Evolving Wilds",1
"c16","Exotic Orchard",1
"c16","Golgari Rot Farm",1
"c16","Murmuring Bosk",1
"c16","Opal Palace",1
"c16","Opulent Palace",1
"c16","Sandsteppe Citadel",1
"c16","Seaside Citadel",1
"c16","Sungrass Prairie",1
"c16","Temple of the False God",1
"c16","Terramorphic Expanse",1
"c16","Underground River",1
