edition,name,count
"C18","Aminatou, the Fateshifter",1
"C18","Enigma Sphinx",1
"C18","Varina, Lich Queen",1
"C18","Yennett, Cryptic Sovereign",1
"C18","Boreas Charger",1
"C18","Magus of the Balance",1
"C18","Night Incarnate",1
"C18","Sower of Discord",1
"C18","Yuriko, the Tiger's Shadow",1
"C18","Serra Avatar",1
"C18","Adarkar Valkyrie",1
"C18","Conundrum Sphinx",1
"C18","Djinn of Wishes",1
"C18","Jeskai Infiltrator",1
"C18","Sphinx of Jwar Isle",1
"C18","Sphinx of Uthuun",1
"C18","Phyrexian Delver",1
"C18","Duskmantle Seer",1
"C18","High Priest of Penance",1
"C18","Silent-Blade Oni",1
"C18","Loyal Unicorn",1
"C18","Loyal Subordinate",1
"C18","Geode Golem",1
"C18","Mulldrifter",1
"C18","Ninja of the Deep Hours",1
"C18","Sigiled Starfish",1
"C18","Pilgrim's Eye",1
"C18","Terminus",1
"C18","Aminatou's Augury",1
"C18","Entreat the Dead",1
"C18","Skull Storm",1
"C18","Entreat the Angels",1
"C18","Army of the Damned",1
"C18","Akroma's Vengeance",1
"C18","Devastation Tide",1
"C18","Dream Cache",1
"C18","Ponder",1
"C18","Portent",1
"C18","Treasure Hunt",1
"C18","Aethermage's Touch",1
"C18","Utter End",1
"C18","Banishing Stroke",1
"C18","Return to Dust",1
"C18","Brainstorm",1
"C18","Predict",1
"C18","Telling Time",1
"C18","Esper Charm",1
"C18","Mortify",1
"C18","Azorius Signet",1
"C18","Commander's Sphere",1
"C18","Crystal Ball",1
"C18","Dimir Signet",1
"C18","Mind Stone",1
"C18","Orzhov Signet",1
"C18","Seer's Lantern",1
"C18","Sol Ring",1
"C18","Primordial Mist",1
"C18","Lightform",1
"C18","Cloudform",1
"C18","Isolated Watchtower",1
"C18","Plains",8
"C18","Island",5
"C18","Swamp",3
"C18","Forge of Heroes",1
"C18","Arcane Sanctum",1
"C18","Azorius Chancery",1
"C18","Azorius Guildgate",1
"C18","Barren Moor",1
"C18","Command Tower",1
"C18","Dimir Aqueduct",1
"C18","Dimir Guildgate",1
"C18","Dismal Backwater",1
"C18","Forsaken Sanctuary",1
"C18","Halimar Depths",1
"C18","Jwar Isle Refuge",1
"C18","Lonely Sandbar",1
"C18","Meandering River",1
"C18","Mortuary Mire",1
"C18","New Benalia",1
"C18","Orzhov Basilica",1
"C18","Orzhov Guildgate",1
"C18","Scoured Barrens",1
"C18","Secluded Steppe",1
"C18","Sejiri Refuge",1
"C18","Submerged Boneyard",1
"C18","Tranquil Cove",1
"C18","Crib Swap",1
