edition,name,count
"c20","Otrimi, the Ever-Playful",1
"c20","Nissa, Steward of Elements",1
"iko","Archipelagore",1
"iko","Auspicious Starrix",1
"c20","Beast Whisperer",1
"iko","Boneyard Lurker",1
"c20","Boneyard Mycodrax",1
"c20","Capricopian",1
"iko","Cavern Whisperer",1
"c20","Cazur, Ruthless Stalker",1
"iko","Chittering Harvester",1
"c20","Cold-Eyed Selkie",1
"iko","Dreamtail Heron",1
"iko","Fertilid",1
"c20","Genesis Hydra",1
"iko","Glowstone Recluse",1
"c20","Heroes' Bane",1
"c20","Hungering Hydra",1
"c20","Illusory Ambusher",1
"iko","Insatiable Hemophage",1
"c20","Masked Admirers",1
"iko","Migratory Greathorn",1
"c20","Mindleecher",1
"c20","Mulldrifter",1
"iko","Pouncing Shoreshark",1
"c20","Predator Ooze",1
"c20","Reclamation Sage",1
"c20","Sawtusk Demolisher",1
"c20","Shriekmaw",1
"c20","Silent Arbiter",1
"c20","Souvenir Snatcher",1
"c20","Tidal Barracuda",1
"iko","Trumpeting Gnarr",1
"c20","Trygon Predator",1
"c20","Ukkima, Stalking Shadow",1
"c20","Vastwood Hydra",1
"c20","Vorapede",1
"c20","Wydwen, the Biting Gale",1
"c20","Yavimaya Dryad",1
"c20","Zaxara, the Exemplary",1
"c20","Beast Within",1
"c20","Deadly Rollick",1
"c20","Krosan Grip",1
"c20","Putrefy",1
"c20","Animist's Awakening",1
"c20","Find // Finality",1
"c20","Gaze of Granite",1
"c20","Deadly Tempest",1
"c20","Dredge the Mire",1
"c20","Kodama's Reach",1
"c20","Mind Spring",1
"iko","Migration Path",1
"c20","Profane Command",1
"c20","Villainous Wealth",1
"c20","Parasitic Impetus",1
"c20","Predatory Impetus",1
"c20","Propaganda",1
"c20","Psychic Impetus",1
"c20","Arcane Signet",1
"c20","Bonder's Ornament",1
"c20","Lifecrafter's Bestiary",1
"c20","Manascape Refractor",1
"c20","Sol Ring",1
"c20","Blighted Woodland",1
"c20","Command Tower",1
"c20","Darkwater Catacombs",1
"c20","Dimir Aqueduct",1
"iko","Dismal Backwater",1
"c20","Endless Sands",1
"c20","Exotic Orchard",1
"c20","Golgari Rot Farm",1
"iko","Jungle Hollow",1
"c20","Llanowar Wastes",1
"c20","Mortuary Mire",1
"c20","Myriad Landscape",1
"c20","Opulent Palace",1
"c20","Rogue's Passage",1
"c20","Simic Growth Chamber",1
"c20","Soaring Seacliff",1
"c20","Sunken Hollow",1
"c20","Temple of the False God",1
"iko","Thornwood Falls",1
"iko","Swamp",5
"iko","Forest",11
"iko","Island",2
