edition,name,count
"c20","Jirina Kudro",1
"c20","Nahiri, the Harbinger",1
"c20","Adriana, Captain of the Guard",1
"c20","Alesha, Who Smiles at Death",1
"c20","Banisher Priest",1
"c20","Bounty Agent",1
"c20","Captivating Crew",1
"c20","Cavalry Pegasus",1
"c20","Dearly Departed",1
"c20","Devout Chaplain",1
"c20","Disciple of Bolas",1
"c20","Fireflux Squad",1
"c20","Frontier Warmonger",1
"c20","Frontline Medic",1
"c20","Fumiko the Lowblood",1
"c20","Garna, the Bloodflame",1
"iko","General's Enforcer",1
"c20","Humble Defector",1
"c20","Kelsien, the Plague",1
"c20","Knight of the White Orchid",1
"c20","Magus of the Disk",1
"c20","Magus of the Wheel",1
"c20","Odric, Master Tactician",1
"c20","Riders of Gavony",1
"c20","Silvar, Devourer of the Free",1
"c20","Species Specialist",1
"c20","Thalia's Lieutenant",1
"c20","Thraben Doomsayer",1
"c20","Titan Hunter",1
"c20","Titan of Eternal Fire",1
"c20","Trynn, Champion of Freedom",1
"c20","Verge Rangers",1
"c20","Xathrid Necromancer",1
"c20","Zulaport Cutthroat",1
"c20","Call the Coppercoats",1
"c20","Crackling Doom",1
"iko","Dire Tactics",1
"c20","Flawless Maneuver",1
"c20","Terminate",1
"c20","Unexpectedly Absent",1
"c20","Ambition's Cost",1
"c20","Citywide Bust",1
"c20","Cleansing Nova",1
"c20","Increasing Devotion",1
"c20","Painful Truths",1
"iko","Bastion of Remembrance",1
"c20","Martial Impetus",1
"c20","Molten Echoes",1
"c20","Outpost Siege",1
"c20","Parasitic Impetus",1
"iko","Sanctuary Lockdown",1
"c20","Shared Animosity",1
"c20","Shiny Impetus",1
"c20","Vigilante Justice",1
"c20","Arcane Signet",1
"c20","Bonder's Ornament",1
"c20","Boros Signet",1
"c20","Commander's Sphere",1
"c20","Heirloom Blade",1
"c20","Orzhov Signet",1
"c20","Rakdos Signet",1
"c20","Sanctuary Blade",1
"c20","Skullclamp",1
"c20","Sol Ring",1
"c20","Battlefield Forge",1
"iko","Bloodfell Caves",1
"c20","Bojuka Bog",1
"c20","Boros Garrison",1
"c20","Command Tower",1
"iko","Evolving Wilds",1
"c20","Exotic Orchard",1
"c20","Myriad Landscape",1
"c20","Nomad Outpost",1
"c20","Orzhov Basilica",1
"c20","Path of Ancestry",1
"c20","Rakdos Carnarium",1
"iko","Scoured Barrens",1
"c20","Shadowblood Ridge",1
"c20","Smoldering Marsh",1
"c20","Spinerock Knoll",1
"c20","Temple of the False God",1
"c20","Unclaimed Territory",1
"iko","Wind-Scarred Crag",1
"c20","Windbrisk Heights",1
"iko","Mountain",4
"iko","Plains",8
"iko","Swamp",4
