edition,name,count
"c20","Gavi, Nest Warden",1
"c20","Chandra, Flamecaller",1
"c20","Agitator Ant",1
"c20","Akim, the Soaring Wind",1
"c20","Brallin, Skyshark Rider",1
"c20","Curator of Mysteries",1
"c20","Cryptic Trilobite",1
"c20","Eternal Dragon",1
"c20","Ethereal Forager",1
"c20","Herald of the Forgotten",1
"c20","Isperia, Supreme Judge",1
"c20","Mercurial Chemister",1
"c20","Nimble Obstructionist",1
"c20","Niv-Mizzet, the Firemind",1
"c20","Portal Mage",1
"c20","Psychosis Crawler",1
"iko","Rooting Moloch",1
"iko","Savai Thundermane",1
"c20","Shabraz, the Skyshark",1
"c20","Spellpyre Phoenix",1
"c20","Sun Titan",1
"c20","Surly Badgersaur",1
"c20","The Locust God",1
"iko","Valiant Rescuer",1
"c20","Vizier of Tumbling Sands",1
"c20","Fierce Guardianship",1
"c20","Hieroglyphic Illumination",1
"iko","Neutralize",1
"iko","Zenith Flare",1
"c20","Akroma's Vengeance",1
"iko","Boon of the Wish-Giver",1
"c20","Decree of Justice",1
"c20","Descend upon the Sinful",1
"c20","Dismantling Wave",1
"c20","Migratory Route",1
"c20","Slice and Dice",1
"c20","Windfall",1
"c20","Astral Drift",1
"c20","Cast Out",1
"c20","Crystalline Resonance",1
"c20","Drake Haven",1
"c20","Hoofprints of the Stag",1
"c20","Lightning Rift",1
"c20","Martial Impetus",1
"c20","New Perspectives",1
"iko","Ominous Seas",1
"c20","Psychic Impetus",1
"iko","Reconnaissance Mission",1
"c20","Shiny Impetus",1
"c20","Spirit Cairn",1
"c20","Tectonic Reformation",1
"c20","Abandoned Sarcophagus",1
"c20","Arcane Signet",1
"c20","Azorius Signet",1
"c20","Bonder's Ornament",1
"c20","Boros Signet",1
"c20","Commander's Sphere",1
"c20","Fluctuator",1
"c20","Izzet Signet",1
"iko","Raugrin Crystal",1
"c20","Sol Ring",1
"c20","Ash Barrens",1
"c20","Azorius Chancery",1
"c20","Boros Garrison",1
"c20","Command Tower",1
"c20","Desert of the Fervent",1
"c20","Desert of the Mindful",1
"c20","Desert of the True",1
"c20","Drifting Meadow",1
"c20","Exotic Orchard",1
"c20","Forgotten Cave",1
"c20","Hostile Desert",1
"c20","Irrigated Farmland",1
"c20","Izzet Boilerworks",1
"c20","Lonely Sandbar",1
"c20","Myriad Landscape",1
"c20","Mystic Monastery",1
"c20","Prairie Stream",1
"c20","Reliquary Tower",1
"c20","Remote Isle",1
"c20","Secluded Steppe",1
"c20","Shivan Reef",1
"c20","Skycloud Expanse",1
"c20","Smoldering Crater",1
"c20","Temple of the False God",1
"iko","Island",5
"iko","Mountain",6
"iko","Plains",4
