edition,name,count
"cm2","Atraxa, Praetors' Voice",1
"cm2","Thrummingbird",1
"cm2","Festercreep",1
"cm2","Scavenging Ooze",1
"cm2","Abzan Falconer",1
"cm2","Orzhov Advokist",1
"cm2","Tuskguard Captain",1
"cm2","Necroplasm",1
"cm2","Champion of Lambholt",1
"cm2","Reyhan, Last of the Abzan",1
"cm2","Vorel of the Hull Clade",1
"cm2","Crystalline Crawler",1
"cm2","Custodi Soulbinders",1
"cm2","Forgotten Ancient",1
"cm2","Bane of the Living",1
"cm2","Ishai, Ojutai Dragonspeaker",1
"cm2","Corpsejack Menace",1
"cm2","Fathom Mage",1
"cm2","Master Biomancer",1
"cm2","Elite Scaleguard",1
"cm2","Reveillark",1
"cm2","Deepglow Skate",1
"cm2","Kalonian Hydra",1
"cm2","Ikra Shidiqi, the Usurper",1
"cm2","Vulturous Zombie",1
"cm2","Juniper Order Ranger",1
"cm2","Ghave, Guru of Spores",1
"cm2","Enduring Scalelord",1
"cm2","Manifold Insights",1
"cm2","Languish",1
"cm2","Tezzeret's Gambit",1
"cm2","Migratory Route",1
"cm2","Merciless Eviction",1
"cm2","Spitting Image",1
"cm2","Sublime Exhalation",1
"cm2","Duneblast",1
"cm2","Treasure Cruise",1
"cm2","Disdainful Stroke",1
"cm2","Solidarity of Heroes",1
"cm2","Grip of Phyresis",1
"cm2","Inspiring Call",1
"cm2","Mortify",1
"cm2","Putrefy",1
"cm2","Ancient Excavation",1
"cm2","Mirrorweave",1
"cm2","Sylvan Reclamation",1
"cm2","Sol Ring",1
"cm2","Fellwar Stone",1
"cm2","Golgari Signet",1
"cm2","Orzhov Signet",1
"cm2","Simic Signet",1
"cm2","Commander's Sphere",1
"cm2","Darksteel Ingot",1
"cm2","Cauldron of Souls",1
"cm2","Astral Cornucopia",1
"cm2","Hardened Scales",1
"cm2","Brave the Sands",1
"cm2","Duelist's Heritage",1
"cm2","Bred for the Hunt",1
"cm2","Citadel Siege",1
"cm2","Cathars' Crusade",1
"cm2","Arcane Sanctum",1
"cm2","Ash Barrens",1
"cm2","Azorius Chancery",1
"cm2","Command Tower",1
"cm2","Darkwater Catacombs",1
"cm2","Dreadship Reef",1
"cm2","Evolving Wilds",1
"cm2","Exotic Orchard",1
"cm2","Golgari Rot Farm",1
"cm2","Murmuring Bosk",1
"cm2","Opal Palace",1
"cm2","Opulent Palace",1
"cm2","Sandsteppe Citadel",1
"cm2","Seaside Citadel",1
"cm2","Sungrass Prairie",1
"cm2","Temple of the False God",1
"cm2","Terramorphic Expanse",1
"cm2","Underground River",1
"cm2","Plains",5
"cm2","Island",4
"cm2","Swamp",5
"cm2","Forest",7
