edition,name,count
"con","Aerie Mystics",1
"con","Aven Squire",2
"ala","Deft Duelist",1
"con","Frontline Sage",1
"con","Giltspire Avenger",1
"con","Gwafa Hazid, Profiteer",1
"con","Jhessian Balmgiver",1
"ala","Outrider of Jhess",1
"con","Rhox Bodyguard",2
"con","Rhox Meditant",1
"ala","Rhox War Monk",1
"con","Skyward Eye Prophets",2
"10e","Suntail Hawk",1
"con","Valeron Outlander",2
"con","Valeron Outlander",2
"con","Gleam of Resistance",1
"con","Unsummon",1
"con","Asha's Favor",1
"10e","Pacifism",2
"ala","Forest",3
"ala","Island",3
"ala","Plains",7
"ala","Seaside Citadel",2
"10e","Terramorphic Expanse",2
