edition,name,count
"grn","Hellkite Whelp",2
"m20","Daggersail Aeronaut",2
"m20","Drakuseth, Maw of Flames",1
"m20","Fire Elemental",1
"m20","Glint-Horn Buccaneer",1
"m20","Goblin Smuggler",2
"m20","Fearless Halberdier",3
"m20","Goblin Assailant",4
"m20","Hostile Minotaur",2
"m20","Immortal Phoenix",1
"m20","Nimble Birdsticker",2
"m20","Shivan Dragon",1
"m20","Act of Treason",1
"m20","Tectonic Rift",1
"m20","Engulfing Eruption",3
"grn","Sure Strike",2
"m20","Infuriate",2
"m20","Shock",2
"m20","Leyline of Combustion",1
"m20","Mountain",26
