edition,name,count
"rtr","Azorius Arrester",2
"m13","Silvercoat Lion",3
"rtr","Stealer of Secrets",2
"dgm","Wind Drake",3
"rtr","Lyev Skyknight",1
"rtr","Soulsworn Spirit",1
"rtr","Azorius Justiciar",1
"dgm","Haazda Snare Squad",2
"dgm","Sunspire Gatekeepers",2
"dgm","Ascended Lawmage",2
"dgm","Jelenn Sphinx",2
"dgm","Lavinia of the Tenth",1
"gtc","Righteous Charge",2
"dgm","Lyev Decree",2
"rtr","Avenging Arrow",2
"dgm","Restore the Peace",1
"dgm","Protect // Serve",1
"dgm","Azorius Cluestone",2
"rtr","Arrest",1
"rtr","Martial Law",1
"dgm","Azorius Guildgate",4
"rtr","Plains",12
"rtr","Island",10
