edition,name,count
"dtk","Atarka Beastbreaker",2
"dtk","Glade Watcher",2
"dtk","Dragonlord's Servant",1
"dtk","Colossodon Yearling",2
"dtk","Hardened Berserker",2
"dtk","Dragonloft Idol",1
"dtk","Sabertooth Outrider",2
"dtk","Summit Prowler",1
"dtk","Lurking Arynx",2
"dtk","Stampeding Elk Herd",2
"dtk","Harbinger of the Hunt",1
"dtk","Scion of Ugin",1
"dtk","Savage Ventmaw",2
"dtk","Epic Confrontation",1
"dtk","Dragon Fodder",1
"dtk","Magmatic Chasm",1
"dtk","Roast",1
"dtk","Seismic Rupture",1
"dtk","Tread Upon",1
"dtk","Draconic Roar",1
"dtk","Tail Slash",2
"dtk","Press the Advantage",1
"dtk","Sarkhan's Rage",2
"dtk","Atarka Monument",1
"dtk","Berserkers' Onslaught",1
"dtk","Evolving Wilds",1
"dtk","Forest",12
"dtk","Mountain",12
