edition,name,count
"dtk","Dromoka Dunecaster",1
"dtk","Servant of the Scale",2
"dtk","Dromoka Warrior",2
"dtk","Lightwalker",3
"dtk","Territorial Roc",1
"dtk","Scaleguard Sentinels",1
"dtk","Sandcrafter Mage",2
"dtk","Salt Road Quartermasters",2
"dtk","Champion of Arashin",2
"dtk","Aven Tactician",2
"dtk","Sandsteppe Scavenger",2
"dtk","Enduring Scalelord",2
"dtk","Arashin Sovereign",1
"dtk","Inspiring Call",2
"dtk","Scale Blessing",2
"dtk","Enduring Victory",1
"dtk","Dromoka's Gift",2
"dtk","Secure the Wastes",1
"dtk","Dromoka Monument",1
"dtk","Pacifism",2
"dtk","Sheltered Aerie",1
"dtk","Evolving Wilds",1
"dtk","Plains",13
"dtk","Forest",11
