edition,name,count
"ddh","Ajani Vengeant",1
"ddh","Ageless Entity",1
"ddh","Ajani's Pridemate",2
"ddh","Briarhorn",1
"ddh","Canyon Wildcat",1
"ddh","Essence Warden",1
"ddh","Firemane Angel",1
"ddh","Fleetfoot Panther",1
"ddh","Grazing Gladehart",1
"ddh","Jade Mage",1
"ddh","Kird Ape",1
"ddh","Loam Lion",1
"ddh","Loxodon Hierarch",1
"ddh","Marisi's Twinclaws",1
"ddh","Nacatl Hunt-Pride",1
"ddh","Pride of Lions",1
"ddh","Qasali Pridemage",1
"ddh","Spitemare",1
"ddh","Sylvan Ranger",2
"ddh","Wild Nacatl",1
"ddh","Woolly Thoctar",1
"ddh","Lead the Stampede",1
"ddh","Titanic Ultimatum",1
"ddh","Lightning Helix",1
"ddh","Naya Charm",1
"ddh","Sylvan Bounty",2
"ddh","Behemoth Sledge",1
"ddh","Ajani's Mantra",1
"ddh","Griffin Guide",1
"ddh","Recumbent Bliss",2
"ddh","Searing Meditation",1
"ddh","Evolving Wilds",2
"ddh","Forest",8
"ddh","Graypelt Refuge",1
"ddh","Jungle Shrine",2
"ddh","Kazandu Refuge",1
"ddh","Mountain",3
"ddh","Plains",6
"ddh","Sapseep Forest",1
"ddh","Vitu-Ghazi, the City-Tree",1
