edition,name,count
"ddh","Nicol Bolas, Planeswalker",1
"ddh","Blazing Specter",1
"ddh","Brackwater Elemental",1
"ddh","Dimir Cutpurse",1
"ddh","Fire-Field Ogre",1
"ddh","Hellfire Mongrel",2
"ddh","Igneous Pouncer",1
"ddh","Jhessian Zombies",1
"ddh","Morgue Toad",1
"ddh","Moroii",1
"ddh","Nightscape Familiar",1
"ddh","Ogre Savant",1
"ddh","Shriekmaw",1
"ddh","Slavering Nulls",1
"ddh","Steamcore Weird",1
"ddh","Surveilling Sprite",1
"ddh","Cruel Ultimatum",1
"ddh","Deep Analysis",1
"ddh","Pain // Suffering",1
"ddh","Profane Command",1
"ddh","Rise // Fall",1
"ddh","Slave of Bolas",1
"ddh","Agonizing Demise",1
"ddh","Countersquall",1
"ddh","Grixis Charm",1
"ddh","Recoil",1
"ddh","Spite // Malice",1
"ddh","Undermine",1
"ddh","Vapor Snag",1
"ddh","Icy Manipulator",1
"ddh","Obelisk of Grixis",2
"ddh","Elder Mastery",1
"ddh","Crumbling Necropolis",2
"ddh","Island",7
"ddh","Mountain",5
"ddh","Rupture Spire",1
"ddh","Swamp",9
"ddh","Terramorphic Expanse",2
