edition,name,count
"ddc","Akroma, Angel of Wrath",1
"ddc","Angel of Mercy",2
"ddc","Angelic Page",2
"ddc","Angelic Protector",1
"ddc","Charging Paladin",2
"ddc","Icatian Priest",2
"ddc","Luminous Angel",1
"ddc","Reya Dawnbringer",1
"ddc","Serra Advocate",2
"ddc","Serra Angel",1
"ddc","Sustainer of the Realm",2
"ddc","Twilight Shepherd",1
"ddc","Venerable Monk",2
"ddc","Angelsong",1
"ddc","Healing Salve",1
"ddc","Otherworldly Journey",2
"ddc","Angel's Feather",1
"ddc","Marble Diamond",2
"ddc","Angelic Benediction",1
"ddc","Faith's Fetters",2
"ddc","Pacifism",1
"ddc","Righteous Cause",1
"ddc","Serra's Boon",1
"ddc","Serra's Embrace",1
"ddc","Plains",24
"ddc","Secluded Steppe",2
