edition,name,count
"dd1","Ambush Commander",1
"dd1","Allosaurus Rider",1
"dd1","Elvish Eulogist",2
"dd1","Elvish Harbinger",1
"dd1","Elvish Warrior",3
"dd1","Gempalm Strider",2
"dd1","Heedless One",1
"dd1","Imperious Perfect",2
"dd1","Llanowar Elves",3
"dd1","Lys Alana Huntmaster",2
"dd1","Stonewood Invoker",1
"dd1","Sylvan Messenger",1
"dd1","Timberwatch Elf",1
"dd1","Voice of the Woods",1
"dd1","Wellwisher",2
"dd1","Wirewood Herald",1
"dd1","Wirewood Symbiote",1
"dd1","Wood Elves",2
"dd1","Wren's Run Vanquisher",1
"dd1","Elvish Promenade",1
"dd1","Harmonize",1
"dd1","Giant Growth",2
"dd1","Wildsize",1
"dd1","Moonglove Extract",3
"dd1","Slate of Ancestry",1
"dd1","Forest",19
"dd1","Tranquil Thicket",2
"dd1","Wirewood Lodge",1
