edition,name,count
"td2","Platinum Angel",1
"td2","Ardent Recruit",1
"td2","Argent Sphinx",1
"td2","Darksteel Gargoyle",1
"td2","Darksteel Sentinel",1
"td2","Duplicant",1
"td2","Glimmerpoint Stag",1
"td2","Gold Myr",1
"td2","Grand Architect",1
"td2","Kuldotha Forgemaster",1
"td2","Lumengrid Gargoyle",1
"td2","Memnite",1
"td2","Myr Retriever",1
"td2","Silent Arbiter",1
"td2","Silver Myr",1
"td2","Spire Serpent",1
"td2","Steel Wall",1
"td2","Trinket Mage",1
"td2","Vedalken Certarch",1
"td2","Bonesplitter",1
"td2","Slagwurm Armor",1
"td2","Neurok Stealthsuit",1
"td2","Talisman of Progress",1
"td2","Viridian Claw",1
"td2","Thunderstaff",1
"td2","Arrest",1
"td2","Steelshaper's Gift",1
"td2","Condemn",1
"td2","Dispatch",1
"td2","Purge",1
"td2","Stoic Rebuttal",1
"td2","Test of Faith",1
"td2","Thirst for Knowledge",1
"td2","Turn the Tide",1
"td2","White Sun's Zenith",1
"td2","Ancient Den",1
"td2","Blinkmoth Nexus",1
"td2","Coastal Tower",1
"td2","Forbidding Watchtower",1
"td2","Seat of the Synod",2
"td2","Terramorphic Expanse",2
"td2","Plains",8
"td2","Island",9
