edition,name,count
"ddr","Ob Nixilis Reignited",1
"ddr","Carrier Thrall",2
"ddr","Fetid Imp",2
"ddr","Despoiler of Souls",1
"ddr","Foul Imp",1
"ddr","Blistergrub",2
"ddr","Giant Scorpion",1
"ddr","Cadaver Imp",1
"ddr","Bala Ged Scorpion",1
"ddr","Desecration Demon",1
"ddr","Squelching Leeches",1
"ddr","Indulgent Tormentor",1
"ddr","Priest of the Blood Rite",1
"ddr","Renegade Demon",1
"ddr","Pestilence Demon",1
"ddr","Innocent Blood",1
"ddr","Mire's Toll",1
"ddr","Grim Discovery",2
"ddr","Smallpox",2
"ddr","Ambition's Cost",1
"ddr","Demon's Grasp",1
"ddr","Disfigure",1
"ddr","Altar's Reap",1
"ddr","Doom Blade",2
"ddr","Hideous End",1
"ddr","Tendrils of Corruption",1
"ddr","Quest for the Gravelord",2
"ddr","Shadows of the Past",1
"ddr","Unhallowed Pact",1
"ddr","Leechridden Swamp",2
"ddr","Swamp",22
