edition,name,count
"ddk","Sorin, Lord of Innistrad",1
"ddk","Bloodrage Vampire",1
"ddk","Butcher of Malakir",1
"ddk","Child of Night",1
"ddk","Doomed Traveler",2
"ddk","Duskhunter Bat",2
"ddk","Fiend Hunter",1
"ddk","Gatekeeper of Malakir",1
"ddk","Mausoleum Guard",1
"ddk","Mesmeric Fiend",1
"ddk","Phantom General",1
"ddk","Revenant Patriarch",1
"ddk","Sengir Vampire",1
"ddk","Twilight Drover",1
"ddk","Vampire Lacerator",1
"ddk","Vampire Nighthawk",1
"ddk","Vampire Outcasts",1
"ddk","Wall of Omens",1
"ddk","Absorb Vis",1
"ddk","Ancient Craving",1
"ddk","Death Grasp",1
"ddk","Decompose",1
"ddk","Lingering Souls",1
"ddk","Spectral Procession",2
"ddk","Mortify",1
"ddk","Sorin's Thirst",1
"ddk","Unmake",1
"ddk","Urge to Feed",1
"ddk","Vampire's Bite",1
"ddk","Zealous Persecution",1
"ddk","Field of Souls",1
"ddk","Mark of the Vampire",1
"ddk","Evolving Wilds",2
"ddk","Plains",9
"ddk","Swamp",12
"ddk","Tainted Field",2
