edition,name,count
"soi","Sanitarium Skeleton",1
"soi","Unruly Mob",2
"emn","Desperate Sentry",3
"emn","Skirsdag Supplicant",2
"soi","Vampire Noble",1
"soi","Nearheath Chaplain",1
"emn","Sanctifier of Souls",1
"emn","Gavony Unhallowed",1
"emn","Haunted Dead",2
"soi","Emissary of the Sleepless",1
"soi","Morkrut Necropod",1
"soi","Angelic Purge",2
"emn","Spectral Reserves",2
"emn","Ruthless Disposal",2
"emn","Providence",1
"emn","Borrowed Malevolence",1
"emn","Blessed Alliance",2
"emn","Repel the Abominable",1
"emn","Borrowed Grace",1
"emn","Lunarch Mantle",2
"soi","Vessel of Ephemera",2
"soi","Bound by Moonsilver",1
"emn","Campaign of Vengeance",2
"soi","Plains",13
"soi","Swamp",12
