edition,name,count
"eve","Crag Puca",1
"eve","Dominus of Fealty",1
"eve","Hatchet Bully",1
"eve","Merrow Levitator",1
"eve","Mindwrack Liege",1
"eve","Noggle Bandit",3
"eve","Noggle Bridgebreaker",2
"eve","Noggle Hedge-Mage",2
"eve","Nucklavee",2
"eve","Outrage Shaman",1
"eve","Riverfall Mimic",3
"eve","Shrewd Hatchling",3
"eve","Stream Hopper",2
"shm","Burn Trail",2
"eve","Flame Jab",1
"shm","Jaws of Stone",1
"eve","Unwilling Recruit",2
"eve","Inside Out",1
"eve","Oona's Grace",1
"shm","Spell Syphon",1
"eve","Clout of the Dominus",3
"shm","Island",11
"shm","Mountain",14
