edition,name,count
"5ed","City of Brass",1
"tmp","Forest",1
"5ed","Karplusan Forest",2
"tmp","Mountain",3
"vis","Quicksand",3
"tmp","Reflecting Pool",3
"5ed","Sulfurous Springs",2
"tmp","Swamp",3
"vis","Undiscovered Paradise",2
"tmp","Wasteland",4
"exo","Anarchist",2
"vis","Army Ants",1
"tmp","Dirtcowl Wurm",1
"exo","Monstrous Hound",2
"wth","Orcish Settlers",3
"5ed","Orgg",1
"exo","Plaguebearer",1
"exo","Ravenous Baboons",1
"vis","Uktabi Orangutan",2
"tmp","Diabolic Edict",3
"5ed","Incinerate",4
"tmp","Searing Touch",2
"5ed","Earthquake",2
"exo","Flowstone Flood",2
"mir","Hammer of Bogardan",1
"tmp","Rain of Tears",4
"tmp","Stone Rain",4
