edition,name,count
"xln","Angrath's Marauders",1
"e02","Adaptive Automaton",1
"xln","Dire Fleet Hoarder",3
"xln","Dreamcaller Siren",1
"xln","Headstrong Brute",2
"xln","Marauding Looter",1
"xln","Rigging Runner",2
"xln","Sailor of Means",2
"xln","Storm Fleet Aerialist",2
"xln","Storm Fleet Pyromancer",2
"xln","Storm Fleet Spy",2
"xln","Wanted Scoundrels",2
"e02","Blatant Thievery",1
"e02","Innocent Blood",1
"e02","Mass Mutiny",1
"e02","Coat with Venom",1
"e02","Doom Blade",1
"xln","Fiery Cannonade",1
"xln","Lightning Strike",1
"e02","Rush of Adrenaline",2
"e02","Prismatic Lens",2
"e02","Shared Animosity",1
"e02","Vow of Lightning",1
"e02","Crumbling Necropolis",4
"xln","Island",7
"xln","Swamp",7
"xln","Mountain",8
