edition,name,count
"gnt","Ghalta, Primal Hunger",1
"m19","Gigantosaurus",1
"m19","Goreclaw, Terror of Qal Sisma",1
"m19","Pelakka Wurm",1
"m19","Colossal Dreadmaw",2
"m19","Elvish Rejuvenator",2
"m19","Ghastbark Twins",2
"m19","Giant Spider",2
"m19","Reclamation Sage",1
"m19","Vigilant Baloth",1
"gnt","Jungle Delver",1
"gnt","Llanowar Elves",3
"gnt","Thrashing Brontodon",2
"gnt","Eager Construct",2
"gnt","Howling Golem",2
"gnt","Nissa's Revelation",1
"m19","Rabid Bite",3
"gnt","Overcome",1
"gnt","Seek the Wilds",2
"gnt","Manalith",1
"gnt","Rhonas's Monument",1
"m19","Talons of Wildwood",1
"gnt","Forest",25
"gnt","Avatar of Growth",1
