edition,name,count
"m20","Brineborn Cutthroat",1
"gn2","Sphinx of Enlightenment",1
"m20","Agent of Treachery",1
"m20","Dungeon Geists",1
"m20","Air Elemental",2
"m20","Cloudkin Seer",2
"m20","Frost Lynx",2
"m20","Moat Piranhas",2
"m20","Warden of Evos Isle",2
"gn2","Aven Wind Mage",2
"gn2","Cryptic Serpent",2
"gn2","Salvager of Secrets",2
"gn2","Howling Golem",1
"gn2","River's Rebuke",1
"m20","Captivating Gyre",1
"m20","Winged Words",2
"gn2","Rise from the Tides",1
"gn2","Engulf the Shore",1
"m20","Unsummon",1
"gn2","Decision Paralysis",2
"gn2","Dramatic Reversal",1
"gn2","Galestrike",2
"gn2","Claustrophobia",1
"gn2","Island",26
