edition,name,count
"m20","Voracious Hydra",1
"gn2","Earthshaker Giant",1
"gn2","Ghalta, Primal Hunger",1
"gn2","Ripjaw Raptor",1
"m20","Wakeroot Elemental",1
"m20","Ferocious Pup",2
"m20","Howling Giant",2
"m20","Leafkin Druid",3
"m20","Silverback Shaman",2
"gn2","Crested Herdcaller",2
"gn2","Grazing Whiptail",2
"gn2","Howling Golem",1
"gn2","Ranging Raptors",2
"gn2","Thundering Spineback",2
"m20","Overcome",2
"gn2","Thunderherd Migration",3
"m20","Growth Cycle",3
"m20","Plummet",1
"gn2","Spidery Grasp",2
"gn2","Forest",26
