edition,name,count
"gk1","Niv-Mizzet, the Firemind",1
"grn","Erratic Cyclops",1
"gk1","Tibor and Lumia",1
"gk1","Hypersonic Dragon",1
"gk1","Djinn Illuminatus",1
"grn","Electrostatic Field",1
"grn","Goblin Electromancer",1
"gk1","Nivix Guildmage",2
"gk1","Guttersnipe",2
"gk1","Gelectrode",1
"grn","Wee Dragonauts",2
"grn","Crackling Drake",1
"gk1","Mizzium Mortars",1
"grn","Quasiduplicate",1
"gk1","Stitch in Time",1
"gk1","Invoke the Firemind",1
"gk1","Shattering Spree",1
"grn","Direct Current",1
"grn","Beacon Bolt",1
"gk1","Goblin Rally",1
"gk1","Char",1
"gk1","Cerebral Vortex",1
"gk1","Electrickery",1
"grn","Radical Idea",1
"gk1","Pyromatics",1
"gk1","Izzet Charm",1
"gk1","Thunderheads",1
"gk1","Electrolyze",1
"grn","Chemister's Insight",1
"gk1","Turn // Burn",1
"gk1","Izzet Signet",2
"grn","Firemind's Research",1
"gk1","Izzet Boilerworks",4
"grn","Izzet Guildgate",4
"gk1","Island",8
"gk1","Mountain",8
