edition,name,count
"isd","Angel of Flight Alabaster",1
"isd","Battleground Geist",1
"isd","Chapel Geist",2
"isd","Doomed Traveler",2
"isd","Gallows Warden",1
"isd","Geist-Honored Monk",1
"isd","Lantern Spirit",2
"isd","Mausoleum Guard",2
"isd","Moon Heron",3
"isd","Spectral Rider",2
"isd","Voiceless Spirit",2
"isd","Lost in the Mist",1
"isd","Midnight Haunting",2
"isd","Moment of Heroism",1
"m12","Negate",1
"isd","Rebuke",2
"m12","Unsummon",2
"isd","Curiosity",1
"m12","Divine Favor",2
"isd","Ghostly Possession",1
"m12","Lifelink",1
"m12","Pacifism",2
"m12","Spirit Mantle",1
"isd","Island",10
"isd","Plains",14
