edition,name,count
"ths","Island",9
"dgm","Izzet Guildgate",4
"ths","Mountain",12
"dgm","Aetherling",1
"jou","Battlefield Thaumaturge",1
"m14","Chandra's Phoenix",1
"rtr","Guttersnipe",3
"m14","Ogre Battledriver",1
"bng","Oracle of Bones",1
"ths","Spellheart Chimera",4
"m14","Young Pyromancer",3
"ths","Anger of the Gods",1
"bng","Divination",2
"bng","Fated Conflagration",1
"m14","Flames of the Firebrand",2
"jou","Harness by Force",1
"ths","Lightning Strike",4
"ths","Magma Jet",3
"rtr","Mizzium Mortars",1
"bng","Searing Blood",2
"ths","Steam Augury",1
"dgm","Turn // Burn",2
"rtr","Dispel",2
"m14","Elixir of Immortality",2
"m14","Essence Scatter",3
"m14","Flames of the Firebrand",2
"rtr","Izzet Staticaster",3
"m14","Negate",3
