edition,name,count
"m15","Typhoid Rats",1
"m15","Black Cat",1
"m15","Walking Corpse",1
"m15","Satyr Wayfinder",2
"m15","Wall of Mulch",1
"m15","Research Assistant",1
"m15","Necromancer's Assistant",2
"m15","Gravedigger",1
"m15","Rotfeaster Maggot",1
"ktk","Rakshasa Vizier",1
"ktk","Sultai Soothsayer",1
"ktk","Sultai Scavenger",2
"ktk","Hooting Mandrills",2
"ktk","Shambling Attendants",2
"ktk","Necropolis Fiend",1
"ktk","Taigam's Scheming",2
"ktk","Rakshasa's Secret",1
"ktk","Scout the Borders",1
"ktk","Bitter Revelation",1
"ktk","Set Adrift",1
"ktk","Treasure Cruise",1
"ktk","Dead Drop",1
"ktk","Sultai Charm",1
"ktk","Murderous Cut",1
"ktk","Throttle",1
"ktk","Become Immense",1
"ktk","Sultai Banner",1
"ktk","Debilitating Injury",1
"ktk","Dismal Backwater",1
"ktk","Jungle Hollow",1
"ktk","Opulent Palace",2
"ktk","Thornwood Falls",1
"ktk","Swamp",7
"ktk","Forest",8
"ktk","Island",6
