edition,name,count
"lrw","Avian Changeling",2
"lrw","Drowner of Secrets",2
"lrw","Fallowsage",1
"lrw","Harpoon Sniper",2
"lrw","Judge of Currents",3
"lrw","Merrow Harbinger",1
"lrw","Merrow Reejerey",2
"lrw","Silvergill Adept",2
"lrw","Silvergill Douser",3
"lrw","Stonybrook Angler",2
"lrw","Streambed Aquitects",3
"lrw","Sygg, River Guide",1
"lrw","Tideshaper Mystic",2
"lrw","Wanderwine Prophets",1
"lrw","Ponder",1
"lrw","Summon the School",2
"lrw","Broken Ambitions",1
"lrw","Whirlpool Whelm",1
"lrw","Springleaf Drum",2
"lrw","Merrow Commerce",1
"lrw","Oblivion Ring",3
"lrw","Island",13
"lrw","Plains",9
