edition,name,count
"m11","Aether Adept",2
"m11","Air Servant",2
"m11","Armored Cancrix",1
"m11","Augury Owl",2
"m11","Azure Drake",1
"m11","Blinding Mage",1
"m11","Cloud Elemental",2
"m11","Conundrum Sphinx",1
"m11","Harbor Serpent",1
"m11","Maritime Guard",2
"m11","Scroll Thief",1
"m11","Stormtide Leviathan",1
"m11","Wall of Frost",1
"m11","Water Servant",2
"m11","Foresee",2
"m11","Sleep",2
"m11","Solemn Offering",1
"m11","Condemn",1
"m11","Jace's Ingenuity",2
"m11","Mighty Leap",1
"m11","Negate",2
"m11","Safe Passage",1
"m11","Crystal Ball",1
"m11","Mind Control",1
"m11","Pacifism",1
"m11","Island",16
"m11","Plains",9
