edition,name,count
"m11","Awakener Druid",2
"m11","Duskdale Wurm",2
"m11","Garruk's Packleader",2
"m11","Giant Spider",2
"m11","Greater Basilisk",1
"m11","Llanowar Elves",2
"m11","Prized Unicorn",2
"m11","Protean Hydra",1
"m11","Runeclaw Bear",2
"m11","Sacred Wolf",1
"m11","Spined Wurm",1
"m11","Sylvan Ranger",2
"m11","Yavimaya Wurm",2
"m11","Act of Treason",1
"m11","Cultivate",1
"m11","Fireball",1
"m11","Lava Axe",1
"m11","Nature's Spiral",1
"m11","Overwhelming Stampede",1
"m11","Back to Nature",1
"m11","Chandra's Outrage",1
"m11","Fling",1
"m11","Giant Growth",2
"m11","Lightning Bolt",1
"m11","Plummet",1
"m11","Whispersilk Cloak",1
"m11","Forest",16
"m11","Mountain",8
