edition,name,count
"m14","Accursed Spirit",2
"m14","Advocate of the Beast",1
"m14","Briarpack Alpha",2
"m14","Brindle Boar",2
"m14","Corpse Hauler",1
"m14","Deadly Recluse",2
"m14","Elvish Mystic",1
"m14","Garruk's Horde",1
"m14","Giant Spider",2
"m14","Kalonian Tusker",2
"m14","Rootwalla",2
"m14","Rumbling Baloth",2
"m14","Woodborn Behemoth",2
"m14","Enlarge",1
"m14","Mind Rot",1
"m14","Doom Blade",2
"m14","Fog",1
"m14","Giant Growth",2
"m14","Plummet",1
"m14","Staff of the Wild Magus",1
"m14","Vial of Poison",2
"m14","Into the Wilds",1
"m14","Forest",17
"m14","Swamp",9
