edition,name,count
"ala","Akrasan Squire",4
"arb","Qasali Pridemage",3
"m13","Aven Squire",2
"ala","Deft Duelist",2
"m13","Guardians of Akrasa",2
"ala","Court Archers",3
"ala","Rhox Charger",3
"ala","Waveskimmer Aven",2
"arb","Leonin Armorguard",1
"con","Skyward Eye Prophets",2
"con","Giltspire Avenger",1
"con","Gleam of Resistance",2
"arb","Behemoth Sledge",1
"ala","Sigil Blessing",3
"con","Martial Coup",1
"ala","Bant Charm",3
"pc2","Terramorphic Expanse",4
"m14","Island",3
"m14","Forest",8
"m14","Plains",10
"arb","Finest Hour",1
"ala","Rhox War Monk",1
"ala","Jhessian Infiltrator",1
"arb","Dauntless Escort",1
"arb","Behemoth Sledge",1
"arb","Leonin Armorguard",1
"10e","Pariah",1
"arb","Wargate",1
"ala","Qasali Ambusher",1
"ala","Empyrial Archangel",1
"ala","Bant Charm",1
"avr","Restoration Angel",1
"arb","Jenara, Asura of War",1
"ala","Rhox War Monk",1
"ala","Jhessian Infiltrator",1
"arb","Knotvine Paladin",1
"10e","Pariah",1
"m14","Devout Invocation",1
"wwk","Novablast Wurm",1
"ala","Rafiq of the Many",1
"m13","Battleflight Eagle",1
"rav","Privileged Position",1
"ody","Iridescent Angel",1
"9ed","Ivory Mask",1
"ala","Rhox War Monk",1
"arb","Knight of New Alara",1
"con","Mirror-Sigil Sergeant",1
"m13","Faith's Reward",1
"m13","Battleflight Eagle",1
"m13","Sublime Archangel",1
"con","Martial Coup",1
"arb","Dauntless Escort",1
"arb","Behemoth Sledge",1
"ala","Rhox War Monk",1
"arb","Finest Hour",1
"jud","Phantom Nishoba",1
"ala","Battlegrace Angel",1
"ody","Iridescent Angel",1
"m13","Sublime Archangel",1
"rav","Tolsimir Wolfblood",1
