edition,name,count
"jou","Hypnotic Siren",1
"ths","Leafcrown Dryad",2
"ths","Omenspeaker",2
"ths","Vaporkin",3
"bng","Kiora's Follower",3
"m15","Frost Lynx",2
"ths","Nimbus Naiad",2
"ths","Thassa's Emissary",2
"ths","Horizon Chimera",3
"ths","Prognostic Sphinx",1
"ths","Prophet of Kruphix",1
"m15","Divination",2
"ths","Curse of the Swine",1
"m15","Negate",2
"ths","Voyage's End",1
"ths","Griptide",2
"m15","Aetherspouts",1
"m15","Jace's Ingenuity",2
"jou","Pin to the Earth",2
"m15","Forest",7
"m15","Island",17
"ths","Temple of Mystery",1
