edition,name,count
"m15","Selfless Cathar",2
"m15","Wall of Mulch",1
"m15","Midnight Guard",2
"m15","Siege Wurm",2
"m15","Hornet Queen",1
"m15","Living Totem",2
"m15","Oreskos Swiftclaw",2
"m15","Phytotitan",1
"m15","Seraph of the Masses",2
"m15","Sunblade Elf",2
"m15","Will-Forged Golem",2
"m15","Overwhelm",1
"m15","Feral Incarnation",2
"m15","Nissa's Expedition",1
"m15","Triplicate Spirits",2
"m15","Gather Courage",1
"m15","Naturalize",1
"m15","Titanic Growth",1
"m15","Raise the Alarm",3
"m15","Devouring Light",2
"m15","Meditation Puzzle",1
"m15","Sanctified Charge",1
"m15","Forest",13
"m15","Plains",12
