edition,name,count
"ori","Alhammarret, High Arbiter",1
"ori","Faerie Miscreant",3
"ori","Sigiled Starfish",2
"ori","Yoked Ox",2
"ori","Nivix Barrier",2
"ori","Watercourser",2
"ori","Tower Geist",2
"ori","Charging Griffin",2
"ori","Thunderclap Wyvern",2
"ori","Totem-Guide Hartebeest",2
"ori","Soulblade Djinn",1
"ori","Aven Battle Priest",1
"ori","Healing Hands",2
"ori","Negate",1
"ori","Turn to Frog",1
"ori","Celestial Flare",1
"ori","Hydrolash",2
"ori","Stratus Walk",1
"ori","Murder Investigation",1
"ori","Claustrophobia",2
"ori","Suppression Bonds",2
"ori","Evolving Wilds",1
"ori","Island",14
"ori","Plains",10
