edition,name,count
"mbs","Blisterstick Shaman",2
"m11","Fire Servant",1
"mbs","Galvanoth",1
"som","Iron Myr",2
"mbs","Koth's Courier",2
"mbs","Lumengrid Gargoyle",2
"mbs","Neurok Commando",2
"mbs","Ogre Resister",2
"mbs","Peace Strider",2
"som","Silver Myr",1
"som","Arc Trail",2
"m11","Call to Mind",2
"m11","Foresee",2
"m11","Lava Axe",2
"som","Melt Terrain",1
"m11","Preordain",1
"mbs","Red Sun's Zenith",1
"m11","Sleep",1
"mbs","Burn the Impure",1
"mbs","Crush",1
"m11","Lightning Bolt",1
"mbs","Quicksilver Geyser",2
"mbs","Rally the Forces",1
"mbs","Turn the Tide",1
"mbs","Island",11
"mbs","Mountain",13
