edition,name,count
"som","Blistergrub",2
"mbs","Blisterstick Shaman",2
"mbs","Caustic Hound",2
"nph","Chancellor of the Dross",1
"nph","Entomber Exarch",2
"nph","Flameborn Viron",2
"nph","Furnace Scamp",2
"mbs","Phyrexian Rager",2
"m11","Prodigal Pyromancer",1
"som","Scoria Elemental",1
"nph","Tormentor Exarch",2
"nph","Despise",1
"m11","Disentomb",1
"nph","Ichor Explosion",1
"mbs","Morbid Plunder",1
"nph","Whipflare",1
"nph","Artillerize",2
"m11","Fling",1
"nph","Geth's Verdict",2
"mbs","Go for the Throat",1
"nph","Shrine of Burning Rage",2
"som","Tower of Calamities",1
"nph","Enslave",1
"nph","Parasitic Implant",2
"nph","Mountain",11
"nph","Swamp",13
