edition,name,count
"ody","Barbarian Lunatic",2
"ody","Braids, Cabal Minion",1
"ody","Childhood Horror",2
"ody","Crypt Creeper",1
"ody","Dwarven Strike Force",1
"ody","Face of Fear",1
"ody","Famished Ghoul",2
"ody","Frightcrawler",1
"ody","Chainflinger",2
"ody","Halberdier",1
"ody","Pardic Firecat",3
"ody","Repentant Vampire",1
"ody","Firebolt",2
"ody","Innocent Blood",1
"ody","Liquid Fire",1
"ody","Morbid Hunger",2
"ody","Morgue Theft",1
"ody","Reckless Charge",1
"ody","Engulfing Flames",2
"ody","Flame Burst",3
"ody","Ghastly Demise",2
"ody","Thermal Blast",1
"ody","Shadowblood Egg",2
"ody","Bog Wreckage",1
"ody","Cabal Pit",2
"ody","Ravaged Highlands",1
"ody","Swamp",11
"ody","Mountain",9
