edition,name,count
"ons","Foothill Guide",3
"ons","Battlefield Medic",2
"ons","Disciple of Grace",2
"ons","Daru Healer",3
"ons","Doubtless One",2
"ons","Daunting Defender",1
"ons","Aven Soulgazer",1
"ons","Disciple of Malice",4
"ons","Headhunter",1
"ons","Cabal Archon",2
"ons","Cabal Executioner",1
"ons","Gangrenous Goliath",1
"ons","Profane Prayers",2
"ons","Akroma's Blessing",1
"ons","Smother",2
"ons","Swat",2
"ons","Death Pulse",1
"ons","Pacifism",2
"ons","Astral Slide",1
"ons","Sigil of the New Dawn",1
"ons","Plains",8
"ons","Swamp",8
"ons","Barren Moor",4
"ons","Secluded Steppe",4
"ons","Starlit Sanctum",1
