edition,name,count
"pc2","Tormented Soul",2
"pc2","Augury Owl",2
"pc2","Skullsnatcher",1
"pc2","Inkfathom Witch",1
"pc2","Baleful Strix",2
"pc2","Dimir Infiltrator",2
"pc2","Mistblade Shinobi",1
"pc2","Walker of Secret Ways",1
"pc2","Wall of Frost",1
"pc2","Cadaver Imp",1
"pc2","Liliana's Specter",1
"pc2","Ninja of the Deep Hours",2
"pc2","Sakashima's Student",1
"pc2","Glen Elendra Liege",1
"pc2","Throat Slitter",1
"pc2","Higure, the Still Wind",1
"pc2","Okiba-Gang Shinobi",1
"pc2","Dark Hatchling",1
"pc2","Ink-Eyes, Servant of Oni",1
"pc2","Vela the Night-Clad",1
"pc2","Silent-Blade Oni",1
"pc2","Assassinate",2
"pc2","Concentrate",1
"pc2","Cancel",1
"pc2","Sai of the Shinobi",2
"pc2","Fractured Powerstone",1
"pc2","Quietus Spike",1
"pc2","Whispersilk Cloak",1
"pc2","Farsight Mask",1
"pc2","Dimir Aqueduct",2
"pc2","Jwar Isle Refuge",2
"pc2","Tainted Isle",1
"pc2","Terramorphic Expanse",1
"pc2","Island",9
"pc2","Swamp",9
