edition,name,count
"pc2","Dreampod Druid",2
"pc2","Silhana Ledgewalker",1
"pc2","Kor Spiritdancer",1
"pc2","Aura Gnarlid",2
"pc2","Auramancer",1
"pc2","Armored Griffin",2
"pc2","Lumberknot",2
"pc2","Thran Golem",1
"pc2","Dowsing Shaman",1
"pc2","Bramble Elemental",1
"pc2","Celestial Ancient",1
"pc2","Elderwood Scion",1
"pc2","Auratouched Mage",1
"pc2","Krond the Dawn-Clad",1
"pc2","Three Dreams",1
"pc2","Fractured Powerstone",1
"pc2","Rancor",1
"pc2","Hyena Umbra",1
"pc2","Quiet Disrepair",1
"pc2","Felidar Umbra",2
"pc2","Spirit Mantle",1
"pc2","Boar Umbra",2
"pc2","Snake Umbra",1
"pc2","Cage of Hands",1
"pc2","Ghostly Prison",1
"pc2","Predatory Urge",1
"pc2","Mammoth Umbra",1
"pc2","Sigil of the Empty Throne",1
"pc2","Indrik Umbra",1
"pc2","Pollenbright Wings",1
"pc2","Graypelt Refuge",2
"pc2","Krosan Verge",1
"pc2","Selesnya Sanctuary",2
"pc2","Terramorphic Expanse",1
"pc2","Vitu-Ghazi, the City-Tree",1
"pc2","Forest",9
"pc2","Plains",8
