edition,name,count
"pca","Armored Griffin",2
"pca","Aura Gnarlid",2
"pca","Auramancer",1
"pca","Auratouched Mage",1
"pca","Bramble Elemental",1
"pca","Celestial Ancient",1
"pca","Dowsing Shaman",1
"pca","Dreampod Druid",2
"pca","Elderwood Scion",1
"pca","Kor Spiritdancer",1
"pca","Krond the Dawn-Clad",1
"pca","Lumberknot",2
"pca","Silhana Ledgewalker",1
"pca","Thran Golem",1
"pca","Three Dreams",1
"pca","Fractured Powerstone",1
"pca","Boar Umbra",2
"pca","Cage of Hands",1
"pca","Felidar Umbra",2
"pca","Ghostly Prison",1
"pca","Hyena Umbra",1
"pca","Indrik Umbra",1
"pca","Mammoth Umbra",1
"pca","Pollenbright Wings",1
"pca","Predatory Urge",1
"pca","Quiet Disrepair",1
"pca","Rancor",1
"pca","Sigil of the Empty Throne",1
"pca","Snake Umbra",1
"pca","Spirit Mantle",1
"pca","Forest",9
"pca","Graypelt Refuge",2
"pca","Krosan Verge",1
"pca","Plains",8
"pca","Selesnya Sanctuary",2
"pca","Terramorphic Expanse",1
"pca","Vitu-Ghazi, the City-Tree",1
