1,"Nicol Bolas, the Deceiver","hou"
3,"Wasp of the Bitter End","hou"
3,"Khenra Eternal","hou"
2,"Burning-Fist Minotaur","hou"
2,"Aerial Guide","hou"
2,"Eternal of Harsh Truths","hou"
1,"Ammit Eternal","hou"
2,"Marauding Boneslasher","hou"
4,"Zealot of the God-Pharaoh","hou"
2,"Manticore Eternal","hou"
2,"Supernatural Stamina","akh"
2,"Magma Spray","akh"
2,"Open Fire","hou"
3,"Final Reward","akh"
1,"Throne of the God-Pharaoh","akh"
2,"Visage of Bolas","hou"
4,"Cinder Barrens","hou"
4,"Crypt of the Eternals","hou"
5,"Island","hou"
6,"Swamp","hou"
7,"Mountain","hou"
