1,"Vraska, Scheming Gorgon","rix"
1,"Champion of Dusk","rix"
1,"Paladin of Atonement","rix"
1,"Bishop of the Bloodstained","xln"
1,"Deathless Ancient","xln"
1,"Dusk Legion Zealot","rix"
2,"Queen's Bay Soldier","xln"
2,"Skymarch Bloodletter","xln"
4,"Vampire Champion","rix"
1,"Vicious Conquistador","xln"
3,"Vraska's Conquistador","rix"
1,"Exultant Skymarcher","rix"
2,"Famished Paladin","rix"
2,"Inspiring Cleric","xln"
2,"Skyblade of the Legion","xln"
1,"Legion Lieutenant","rix"
2,"Gilded Sentinel","xln"
2,"Vraska's Scorn","rix"
1,"Recover","rix"
2,"Moment of Craving","rix",
1,"Bright Reprisal","xln"
2,"Moment of Triumph","rix"
4,"Forsaken Sanctuary","rix"
11,"Swamp","rix"
9,"Plains","rix"
