edition,name,count
"rtr","Slitherhead",2
"rtr","Daggerdrome Imp",2
"m13","Walking Corpse",3
"rtr","Drudge Beetle",2
"rtr","Korozda Guildmage",1
"rtr","Stonefare Crocodile",1
"rtr","Wild Beastmaster",1
"rtr","Dreg Mangler",1
"rtr","Slum Reaper",1
"rtr","Korozda Monitor",2
"rtr","Corpsejack Menace",1
"rtr","Sluiceway Scorpion",1
"m13","Veilborn Ghoul",1
"rtr","Gobbling Ooze",1
"m13","Acidic Slime",1
"rtr","Golgari Longlegs",2
"rtr","Terrus Wurm",1
"m13","Disentomb",1
"rtr","Treasured Find",1
"rtr","Rites of Reaping",1
"rtr","Grisly Salvage",1
"rtr","Aerial Predation",1
"m13","Serpent's Gift",1
"m13","Murder",1
"rtr","Launch Party",2
"rtr","Golgari Keyrune",2
"rtr","Golgari Guildgate",1
"rtr","Swamp",12
"rtr","Forest",12
