edition,name,count
"roe","Bloodthrone Vampire",2
"m10","Dragon Whelp",1
"roe","Drana, Kalastria Bloodchief",1
"roe","Emrakul's Hatcher",2
"roe","Gloomhunter",1
"roe","Hand of Emrakul",1
"m10","Howling Banshee",1
"roe","Lagac Lizard",1
"roe","Lavafume Invoker",2
"roe","Magmaw",1
"roe","Ogre Sentry",1
"roe","Pawn of Ulamog",1
"roe","Rapacious One",1
"m10","Act of Treason",1
"roe","Corpsehatch",1
"roe","Essence Feed",1
"m10","Fireball",1
"m10","Lightning Bolt",2
"roe","Vendetta",1
"roe","Mountain",9
"roe","Swamp",9
