edition,name,count
"tsp","Plains",12
"tsp","Forest",5
"tsp","Terramorphic Expanse",4
"rav","Selesnya Sanctuary",2
"plc","Jedit Ojanen of Efrava",1
"5dn","Skyhunter Skirmisher",2
"mrd","Taj-Nar Swordsmith",1
"tsp","Jedit's Dragoons",1
"mrd","Skyhunter Cub",3
"fut","Seht's Tiger",1
"csp","Arctic Nishoba",2
"mrd","Leonin Den-Guard",3
"mrd","Skyhunter Patrol",2
"exo","Mirri, Cat Warrior",1
"plc","Whitemane Lion",1
"dst","Leonin Shikari",1
"fut","Nacatl War-Pride",1
"5dn","Raksha Golden Cub",1
"mrd","Leonin Elder",1
"9ed","Leonin Skyhunter",1
"plc","Saltblast",2
"mrd","Lightning Greaves",1
"mrd","Bonesplitter",2
"dst","Specter's Shroud",1
"dst","Leonin Bola",1
"rav","Grifter's Blade",2
"mrd","Vulshok Gauntlets",1
"rav","Selesnya Signet",3
"mrd","Slagwurm Armor",1
