edition,name,count
"tsp","Swamp",24
"5dn","Blind Creeper",2
"rav","Carrion Howler",1
"8ed","Fallen Angel",1
"9ed","Festering Goblin",3
"9ed","Gluttonous Zombie",1
"rav","Golgari Guildmage",1
"9ed","Gravedigger",3
"rav","Helldozer",1
"9ed","Lord of the Undead",1
"9ed","Nantuko Husk",3
"gpt","Plagued Rusalka",2
"gpt","Sanguine Praetor",1
"9ed","Spineless Thug",3
"mrd","Woebearer",2
"bok","Call for Blood",1
"cst","Dark Banishing",3
"sok","Death Denied",2
"chk","Dance of Shadows",1
"8ed","Death Pit Offering",1
"9ed","Horror of Horrors",1
"8ed","Mind Slash",1
"rav","Necromantic Thirst",1
