edition,name,count
"sok","Kitsune Loreweaver",2
"sok","Kitsune Bonesetter",1
"sok","Descendant of Kiyomaro",2
"sok","Eiganjo Free-Riders",1
"bok","Floodbringer",1
"sok","Minamo Scrollkeeper",2
"chk","Soratami Cloudskater",2
"sok","Kami of the Crescent Moon",1
"chk","Graceful Adept",1
"sok","Moonbow Illusionist",2
"chk","Soratami Rainshaper",1
"sok","Descendant of Soramaro",2
"sok","Oboro Envoy",2
"sok","Kiri-Onna",1
"sok","Soramaro, First to Dream",1
"sok","Presence of the Wise",1
"chk","Counsel of the Soratami",2
"sok","Plow Through Reito",2
"bok","Terashi's Verdict",1
"sok","Charge Across the Araba",1
"sok","Hail of Arrows",1
"sok","Overwhelming Intellect",1
"chk","Hankyu",1
"sok","Cowed by Wisdom",2
"chk","Cage of Hands",2
"sok","Freed from the Real",1
"chk","Plains",12
"chk","Island",11
