edition,name,count
"soi","Devilthorn Fox",3
"soi","Stern Constable",2
"soi","Ember-Eye Wolf",2
"soi","Unruly Mob",1
"soi","Howlpack Wolf",2
"soi","Cathar's Companion",3
"soi","Pyre Hound",2
"soi","Runaway Carriage",1
"soi","Inspiring Captain",2
"soi","Flameblade Angel",1
"soi","Magmatic Chasm",1
"soi","Angelic Purge",1
"soi","Devils' Playground",1
"soi","Lightning Axe",2
"soi","Rush of Adrenaline",2
"soi","Dance with Devils",2
"soi","Inner Struggle",2
"soi","Dissension in the Ranks",1
"soi","Murderer's Axe",1
"soi","Gryff's Boon",1
"soi","Nahiri's Machinations",2
"soi","Plains",12
"soi","Mountain",13
