edition,name,count
"soi","Ravenous Bloodseeker",2
"soi","Indulgent Aristocrat",2
"soi","Olivia's Bloodsworn",1
"soi","Sanguinary Mage",2
"soi","Vampire Noble",2
"soi","Bloodmad Vampire",2
"soi","Stromkirk Mentor",2
"soi","Mad Prophet",1
"soi","Voldaren Duelist",2
"soi","Twins of Maurer Estate",2
"soi","Markov Dreadknight",1
"soi","Incorrigible Youths",2
"soi","Macabre Waltz",1
"soi","Murderous Compulsion",1
"soi","Tormenting Voice",2
"soi","Alms of the Vein",2
"soi","Malevolent Whispers",2
"soi","Burn from Within",1
"soi","Fiery Temper",2
"soi","Sinister Concoction",1
"soi","Senseless Rage",1
"soi","Creeping Dread",1
"soi","Swamp",13
"soi","Mountain",12
