edition,name,count
"tmp","Maze of Shadows",1
"tmp","Mountain",19
"tmp","Plains",5
"tmp","Coiled Tinviper",1
"tmp","Firefly",1
"tmp","Fireslinger",3
"tmp","Flowstone Giant",1
"tmp","Flowstone Salamander",1
"tmp","Lightning Elemental",2
"tmp","Magmasaur",1
"tmp","Mogg Fanatic",4
"tmp","Sandstone Warrior",1
"tmp","Soltari Guerrillas",1
"tmp","Wild Wurm",2
"tmp","Furnace of Rath",1
"tmp","Goblin Bombardment",1
"tmp","Tahngarth's Rage",1
"tmp","Blood Frenzy",1
"tmp","Disenchant",2
"tmp","Kindle",4
"tmp","Lightning Blast",3
"tmp","Searing Touch",1
"tmp","Rolling Thunder",2
"tmp","Squee's Toy",1
