edition,name,count
"tmp","Island",13
"tmp","Rootwater Depths",1
"tmp","Swamp",11
"tmp","Clot Sliver",4
"tmp","Metallic Sliver",4
"tmp","Mindwhip Sliver",1
"tmp","Mnemonic Sliver",3
"tmp","Winged Sliver",4
"tmp","Fevered Convulsions",1
"tmp","Counterspell",2
"tmp","Dark Banishing",2
"tmp","Diabolic Edict",2
"tmp","Dismiss",1
"tmp","Ertai's Meddling",1
"tmp","Power Sink",2
"tmp","Spell Blast",1
"tmp","Whispers of the Muse",1
"tmp","Dream Cache",2
"tmp","Evincar's Justice",1
"tmp","Extinction",1
"tmp","Lobotomy",1
"tmp","Essence Bottle",1
