edition,name,count
"eld","Alela, Artful Provocateur",1
"m20","Sephara, Sky's Blade",1
"war","Massacre Girl",1
"m20","Empyrean Eagle",1
"eld","Shimmer Dragon",1
"eld","Workshop Elders",1
"eld","Animating Faerie // Bring to Life",1
"eld","Shinechaser",1
"rna","Kaya's Wrath",1
"m20","Winged Words",1
"grn","Chemister's Insight",1
"rna","Mortify",1
"eld","Banish into Fable",1
"m20","Bag of Holding",1
"m20","Ancestral Blade",1
"m20","Bloodsoaked Altar",1
"rna","Scrabbling Claws",1
"war","Guild Globe",1
"war","Mana Geode",1
"eld","Mace of the Valiant",1
"eld","Corridor Monitor",1
"eld","Witching Well",1
"eld","Arcanist's Owl",1
"eld","Golden Egg",1
"eld","Arcane Signet",1
"eld","Heraldic Banner",1
"eld","Shambling Suit",1
"rna","Smothering Tithe",1
"rna","Angelic Exaltation",1
"grn","Conclave Tribunal",1
"war","Prison Realm",1
"rna","Lawmage's Binding",1
"eld","All That Glitters",1
"eld","Frogify",1
"m20","Temple of Silence",1
"grn","Watery Grave",1
"eld","Plains",6
"eld","Island",5
"eld","Swamp",4
"rna","Azorius Guildgate",1
"eld","Command Tower",1
"grn","Dimir Guildgate",1
"m20","Dismal Backwater",1
"war","Emergence Zone",1
"m20","Evolving Wilds",1
"war","Orzhov Guildgate",1
"m20","Scoured Barrens",1
"m20","Tranquil Cove",1
