edition,name,count
"tsp","Forest",13
"tsb","Pendelhaven",1
"tsp","Swamp",10
"tsp","Deathspore Thallid",3
"tsp","Herd Gnarr",2
"tsp","Pendelhaven Elder",2
"tsp","Savage Thallid",2
"tsp","Sporesower Thallid",2
"tsb","Thallid",2
"tsp","Thallid Germinator",3
"tsp","Thallid Shell-Dweller",3
"tsp","Thelon of Havenwood",1
"tsp","Wormwood Dryad",1
"tsp","Fallen Ideal",2
"tsp","Feebleness",1
"tsp","Verdant Embrace",1
"tsp","Krosan Grip",1
"tsp","Might of Old Krosa",1
"tsp","Sprout",2
"tsp","Strength in Numbers",2
"tsp","Sudden Death",2
"tsp","Assassinate",1
"tsp","Dread Return",1
"tsb","Claws of Gix",1
