edition,name,count
"usg","Forest",13
"usg","Polluted Mire",1
"usg","Slippery Karst",2
"usg","Swamp",6
"uds","Ancient Silverback",1
"usg","Cradle Guard",1
"usg","Elvish Lyrist",2
"uds","Gamekeeper",2
"uds","Goliath Beetle",1
"uds","Heart Warden",3
"uds","Hunting Moa",2
"uds","Marker Beetles",1
"uds","Phyrexian Monitor",1
"uds","Plague Dogs",2
"uds","Plated Spider",3
"usg","Winding Wurm",1
"uds","Yavimaya Elder",3
"usg","Expunge",2
"usg","Symbiosis",2
"uds","Splinter",1
"usg","Victimize",1
"uds","Chime of Night",1
"usg","Diabolic Servitude",1
"usg","No Rest for the Wicked",1
"uds","Pattern of Rebirth",1
"ulg","Phyrexian Reclamation",1
"ulg","Rancor",1
"uds","Twisted Experiment",2
"uds","Braidwood Cup",1
