edition,name,count
"usg","Forest",17
"usg","Plains",4
"usg","Drifting Meadow",3
"ulg","Treetop Village",1
"usg","Argothian Swine",1
"usg","Cradle Guard",1
"usg","Elvish Herder",1
"ulg","Gang of Elk",1
"ulg","Lone Wolf",1
"ulg","Mother of Runes",2
"ulg","Simian Grunts",3
"ulg","Ticking Gnomes",1
"ulg","Weatherseed Treefolk",1
"ulg","Yavimaya Scion",2
"ulg","Yavimaya Granger",2
"ulg","Yavimaya Wurm",3
"usg","Disenchant",2
"ulg","Erase",1
"usg","Humble",2
"ulg","Radiant's Judgment",1
"ulg","Silk Net",1
"usg","Symbiosis",1
"usg","Gaea's Bounty",1
"ulg","Wing Snare",1
"usg","Crosswinds",1
"ulg","Defense of the Heart",1
"usg","Gaea's Embrace",1
"usg","Pacifism",2
"ulg","Rancor",1
