edition,name,count
"mir","Forest",15
"mir","Mountain",7
"wth","Aboroth",1
"wth","Arctic Wolves",3
"wth","Bogardan Firefiend",1
"mir","Granger Guildmage",2
"wth","Llanowar Behemoth",1
"wth","Llanowar Sentinel",3
"wth","Maraxus of Keld",1
"wth","Redwood Treefolk",2
"vis","Stampeding Wildebeests",2
"wth","Striped Bears",2
"wth","Uktabi Efreet",2
"vis","Uktabi Orangutan",1
"mir","Wall of Roots",3
"wth","Fire Whip",2
"mir","Incinerate",2
"wth","Cone of Flame",2
"vis","Creeping Mold",1
"mir","Kaervek's Torch",1
"mir","Rampant Growth",3
"mir","Savage Twister",1
"vis","Dragon Mask",2
